city_list,cloudiness,country,date,humidity,lat,long,max_temp,wind_speed
Hermanus,0,ZA,2019-04-07,93,-34.42,19.24,64.0,4.0
Vigrestad,0,NO,2019-04-07,80,58.57,5.7,41.0,2.24
Dikson,48,RU,2019-04-07,100,73.51,80.55,13.21,5.53
Fortuna,20,ES,2019-04-07,42,38.18,-1.13,64.4,5.82
Haines Junction,8,CA,2019-04-07,81,60.75,-137.51,36.16,3.29
Ilulissat,75,GL,2019-04-07,48,69.22,-51.1,39.2,13.87
Jamestown,0,AU,2019-04-07,81,-33.21,138.6,40.21,2.73
Mareeba,75,AU,2019-04-07,83,-16.99,145.42,73.99,12.75
Saint Anthony,90,US,2019-04-07,57,43.97,-111.68,53.01,23.04
Resistencia,0,AR,2019-04-07,44,-27.45,-58.99,75.2,9.17
Tenenkou,0,ML,2019-04-07,26,14.46,-4.91,83.05,8.77
Pirgos,40,GR,2019-04-07,93,35.12,25.72,57.99,4.7
Matinha,76,BR,2019-04-07,80,-3.1,-45.04,83.14,3.4
Sabang,0,PH,2019-04-07,96,13.72,123.58,75.76,5.19
Labuhan,92,ID,2019-04-07,97,-2.54,115.51,72.16,0.49
Puerto Ayora,20,EC,2019-04-07,66,-0.74,-90.35,86.0,13.87
Shiraz,75,IR,2019-04-07,72,29.61,52.54,59.0,1.95
Price,75,US,2019-04-07,26,39.6,-110.81,64.0,3.36
Naze,40,NG,2019-04-07,94,5.43,7.07,80.6,4.7
Bantigue,80,PH,2019-04-07,100,10.99,124.62,74.95,2.17
Chauk,32,MM,2019-04-07,100,20.89,94.82,65.23,4.52
Jurm,56,AF,2019-04-07,92,36.86,70.83,27.61,1.61
Mandalgovi,92,MN,2019-04-07,73,45.76,106.27,28.96,13.91
Zhigansk,48,RU,2019-04-07,82,66.77,123.37,21.31,6.98
Sola,0,NO,2019-04-07,80,58.89,5.65,41.0,2.24
Manicore,64,BR,2019-04-07,73,-5.81,-61.3,85.3,2.39
Vaini,0,IN,2019-04-07,88,15.34,74.49,69.01,1.05
Petropavlovsk-Kamchatskiy,40,RU,2019-04-07,64,53.05,158.65,33.8,8.95
Tsimlyansk,0,RU,2019-04-07,71,47.65,42.1,48.4,9.89
Fairbanks,1,US,2019-04-07,36,64.84,-147.72,48.2,4.97
Lebu,36,ET,2019-04-07,62,8.96,38.73,56.59,4.97
Upernavik,20,GL,2019-04-07,83,72.79,-56.15,36.16,19.95
Chuy,0,UY,2019-04-07,83,-33.69,-53.46,69.19,3.74
Rivera,0,UY,2019-04-07,76,-30.9,-55.54,70.27,5.19
Bluff,0,AU,2019-04-07,85,-23.58,149.07,60.28,2.95
Atuona,24,PF,2019-04-07,98,-9.8,-139.03,82.69,15.48
Bilibino,0,RU,2019-04-07,75,68.06,166.44,10.69,2.39
Biak,8,ID,2019-04-07,98,-0.91,122.88,78.01,0.38
Cape Town,0,ZA,2019-04-07,93,-33.93,18.42,64.0,3.36
Xingcheng,0,CN,2019-04-07,63,40.62,120.71,32.02,6.42
Mayumba,88,GA,2019-04-07,92,-3.44,10.65,82.15,5.19
San Quintin,0,PH,2019-04-07,82,17.54,120.52,67.93,3.18
Katsuura,75,JP,2019-04-07,93,33.93,134.5,52.0,4.7
Santa Maria,75,BR,2019-04-07,88,-29.69,-53.81,71.6,4.7
