State,primary_fuel,sum
ND,Cogeneration,5.3
ND,Gas,310.0
ND,Hydro,614.0
ND,Oil,64.0
ND,Waste,9.8
ND,Wind,2830.7
NE,Biomass,4.5
NE,Coal,2924.4
NE,Gas,1924.0000000000002
NE,Hydro,199.8
NE,Oil,355.30000000000007
NE,Solar,6.3
NE,Waste,6.4
NE,Wind,1258.9
NH,Coal,667.5999999999999
NH,Gas,1814.5
NH,Hydro,596.5999999999999
NH,Nuclear,1242.0
NH,Oil,48.5
NH,Solar,2.0
NH,Waste,226.9
NH,Wind,185.3
NJ,Coal,527.3
NJ,Cogeneration,11.2
NJ,Gas,13900.700000000003
NJ,Hydro,467.7
NJ,Nuclear,550.0
NJ,Oil,379.70000000000005
NJ,Solar,596.3000000000002
NJ,Waste,380.7
NJ,Wind,9.0
NM,Coal,2817.2
NM,Gas,3331.9999999999995
NM,Geothermal,4.0
NM,Hydro,81.5
NM,Oil,59.8
NM,Solar,464.4000000000001
NM,Storage,4.1
NM,Waste,3.2
NM,Wind,1112.3
NV,Coal,809.0
NV,Cogeneration,7.5
NV,Gas,8365.199999999999
NV,Geothermal,738.1000000000001
NV,Hydro,2091.6000000000004
NV,Oil,15.0
NV,Solar,2141.6000000000004
NV,Waste,15.2
NV,Wind,150.0
NY,Biomass,1.4
NY,Coal,1738.1
NY,Gas,25036.699999999993
NY,Hydro,5912.200000000001
NY,Nuclear,5709.4
NY,Oil,3960.7999999999997
NY,Solar,118.20000000000002
NY,Storage,20.0
NY,Waste,542.2
NY,Wind,1828.8000000000002
OH,Biomass,100.6
OH,Coal,17883.6
OH,Gas,10400.6
OH,Hydro,81.2
OH,Nuclear,2236.8
OH,Oil,352.1
OH,Petcoke,172.5
OH,Solar,47.7
OH,Storage,22.0
OH,Waste,87.30000000000001
OH,Wind,436.9
OK,Biomass,68.0
OK,Coal,3764.0
OK,Gas,17385.600000000002
OK,Hydro,1068.5
OK,Oil,53.1
OK,Waste,20.0
OK,Wind,6322.6
OR,Biomass,226.8
OR,Coal,642.2
OR,Gas,3248.5
OR,Geothermal,36.7
